name,civilization,role,achievements,legacy_score
Taron Skyward,The Consolidated Unified Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",89
Caelum Crown,The Great Aurelite Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,82
Eldrin Storm,The Great Allied Imperium,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",42
Valerius Ironclad,The Xenan Technocracy,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,68
Aurelia Crown,The Great Unified Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,47
Sienna Kaelis,The Great Unified Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,77
Orion Ironclad,The Great Consolidated Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",45
Lyra Frost,The Orionan Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,75
Elora Vex,The Allied Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,71
Kaelen Nova,The Unified Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,26
Zephyr Sovereign,The Great Zylarite Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,50
Aurelia Voidwalker,The Unified AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,71
Rylan Starfall,The Great Thranan Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,80
Rylan Starlight,The Sagittariite Technocracy,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",73
Caelum Kaelis,The Consolidated Unified Systems,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",29
Vesper Vanguard,The Valite Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,37
Aurelia Skyward,The Great Allied Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,97
Kael Rifts,The Orionite AI Hegemony,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,77
Xerxes Sterling,The Orionite AI Hegemony,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,20
Vesper Nox,The Unified AI Hegemony,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,54
Kaelen Valerius,The Consolidated Unified Systems,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,67
Jesper Thorne,The Consolidated Unified Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,55
Myra Ironclad,The Consolidated Scientific Systems,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,80
Dorian Valerius,The Unified Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,88
Kael Rifts,The Nu-cygnis Star Empire,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",93
Nyx Sovereign,The Sigma-orionis Star Empire,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,24
Vesper Frost,The Great Scientific Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,100
Elora Valerius,The Valite Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,99
Sylas Thorne,The Great Theta-orionis Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,29
Aethelgard Ironclad,The Great Scientific Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Perseus Sector.,52
Dorian Sterling,The Great Scientific Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,39
Taron Sterling,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,82
Eldrin Thorne,The Unified Technocracy,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,39
Sienna Starlight,The Consolidated Soloid Systems,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",41
Kaelen Shadow,The Great Scientific Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,26
Orion Vanguard,The Allied Star Empire,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",88
Caelum Dawn,The Great Sagittarian Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",53
Telas Sovereign,The Consolidated Allied Systems,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",68
Zephyr Storm,The Perseian AI Hegemony,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,75
Eldrin Aethel,The Great Orionian Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,52
Kael Zenith,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,95
Caelum Dawn,The Solian Star Empire,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Perseus Sector.,90
Valerius Vex,The Great Allied Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",87
Nyx Nox,The Great Zylarite Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",52
Telas Ironclad,The Unified Technocracy,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,96
Jesper Helios,The Consolidated Valari Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,36
Zephyr Dawn,The Scientific AI Hegemony,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,57
Aurelia Sol,The Aurelian Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,74
Vanya Zenith,The Great Scientific Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,27
Eldrin Valerius,The Great Zelex Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,42
Sylas Starfall,The Unified Technocracy,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,42
Aethelgard Storm,The Unified Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",47
