era_name,start_year,end_year,dominant_empire,major_events
Age of Trade,156500,158000,The Allied Technocracy,"Economic Collapse (Year 156663): In Year 156663, resource depletion in the Centauri Reach sec... | Megastructure Completion (Year 156747): In Year 156747, researchers in The Allied Technocracy achiev... | Megastructure Completion (Year 157040): In Year 157040, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 157456): In Year 157456, the The Great Kaelumian Imperium completed t... | Resource Catastrophe (Year 157688): In Year 157688, a rogue AI network in The Great Unified Impe... | Megastructure Completion (Year 157927): In Year 157927, the The Great Unified Imperium completed the..."
Age of Expansion,158000,158500,The Great Allied Imperium,"Megastructure Completion (Year 158260): In Year 158260, the The Great Consolidated Imperium complete... | Planetary Invasion (Year 158329): In Year 158329, The Consolidated Zeloid Systems successfully..."
Age of Trade,158500,159000,The Unified Technocracy,"Economic Collapse (Year 158619): In Year 158619, industrial megacorporations in The Consolida... | Economic Collapse (Year 158801): In Year 158801, resource depletion in the Centauri Beta sect..."
Age of Expansion,159000,159500,The Great Unified Imperium,"AI Uprising (Year 159433): In Year 159433, a mysterious cosmic pandemic swept through R... | FTL Network Failure (Year 159379): In Year 159379, the FTL jump gate in Antares Arm suffered a ..."
Age of Colonization,159500,160000,The Great Unified Imperium,"Economic Collapse (Year 159824): In Year 159824, industrial megacorporations in The Solite Te... | Scientific Breakthrough (Year 159604): In Year 159604, the The Scientific Technocracy completed the..."
Age of Expansion,160000,162500,The Great Scientific Imperium,"Resource Catastrophe (Year 160096): In Year 160096, a rogue AI network in The Great Meran Imperi... | Megastructure Completion (Year 160461): In Year 160461, a breakthrough in zero-point energy generati... | AI Uprising (Year 160814): In Year 160814, a mysterious cosmic pandemic swept through A... | Megastructure Completion (Year 160518): In Year 160518, The Scientific AI Hegemony successfully comp... | FTL Network Failure (Year 161444): In Year 161444, the FTL jump gate in Pollux Expanse suffered... | Colony Assault (Year 161067): In Year 161067, The Great Unified Imperium successfully anne... | Resource Catastrophe (Year 161673): In Year 161673, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 161578): In Year 161578, The Scientific Technocracy successfully comp... | FTL Network Failure (Year 162195): In Year 162195, a rogue AI network in The Unified Technocrac... | Defense Pact (Year 162415): In Year 162415, the The Great Scientific Imperium and The Gr..."
Age of Trade,162500,163000,The Consolidated Kaelumex Systems,"Economic Collapse (Year 162599): In Year 162599, industrial megacorporations in The Consolida... | Wormhole Collapse (Year 162789): In Year 162789, a catastrophic solar flare in Capella Sigma ..."
Age of Expansion,163000,163500,The Scientific Technocracy,"Megastructure Completion (Year 163326): In Year 163326, the The Consolidated Technocracy completed t... | Refugee Crisis (Year 163173): In Year 163173, a mysterious cosmic pandemic swept through P..."
Age of Trade,163500,164500,The Great Unified Imperium,"Economic Collapse (Year 163963): In Year 163963, industrial megacorporations in The Great Uni... | Peace Treaty Signing (Year 163617): In Year 163617, diplomatic relations between The Aurelian St... | FTL Network Failure (Year 164148): In Year 164148, the FTL jump gate in Sirius Nebula suffered ... | Economic Collapse (Year 164023): In Year 164023, The Consolidated Scientific Systems experien..."
Age of Expansion,164500,165500,The Scientific AI Hegemony,"Megastructure Completion (Year 164515): In Year 164515, researchers in The Allied Technocracy achiev... | Megastructure Completion (Year 164594): In Year 164594, researchers in The Unified Technocracy achie... | AI Uprising (Year 165434): In Year 165434, a rogue AI network in The Unified Technocrac... | Economic Collapse (Year 165233): In Year 165233, resource depletion in the Pollux Sigma secto..."
Age of Colonization,165500,166000,The Great Orionian Imperium,"War Declaration (Year 165945): In Year 165945, a skirmish broke out in Procyon Prime betwee... | Peace Treaty Signing (Year 165709): In Year 165709, The Great Meroid Imperium acted as a peace m..."
Age of Expansion,166000,167000,The Scientific Technocracy,"Wormhole Collapse (Year 166366): In Year 166366, the FTL jump gate in Castor Major suffered a... | Megastructure Completion (Year 166207): In Year 166207, researchers in The Great Xenoid Imperium ach... | Wormhole Collapse (Year 166799): In Year 166799, a rogue AI network in The Thranan Technocrac... | Megastructure Completion (Year 166656): In Year 166656, the The Consolidated Unified Systems complet..."
Age of Federations,167000,168000,The Scientific Technocracy,"War Declaration (Year 167282): In Year 167282, The Great Unified Imperium successfully anne... | Peace Treaty Signing (Year 167374): In Year 167374, diplomatic relations between The Consolidate... | Megastructure Completion (Year 167576): In Year 167576, a breakthrough in zero-point energy generati... | Pandemic Event (Year 167839): In Year 167839, the FTL jump gate in Rigel Arm suffered a cr..."
Age of Trade,168000,168500,The Great Zelex Imperium,"Economic Collapse (Year 168434): In Year 168434, resource depletion in the Pollux Expanse sec... | Megastructure Completion (Year 168112): In Year 168112, researchers in The Great Valari Imperium ach..."
Age of Conflict,168500,169000,The Great Unified Imperium,"Resource Catastrophe (Year 168997): In Year 168997, the FTL jump gate in Pollux Major suffered a... | Colony Assault (Year 168667): In Year 168667, a skirmish broke out in Arcturus Sigma betwe..."
Age of Expansion,169000,169500,The Great Zylarite Imperium,"Megastructure Completion (Year 169055): In Year 169055, the The Great Zylarite Imperium completed th... | Pandemic Event (Year 169273): In Year 169273, a mysterious cosmic pandemic swept through P..."
Age of Collapse,169500,170000,The Great Consolidated Imperium,"Megastructure Completion (Year 169783): In Year 169783, researchers in The Great Xenoid Imperium ach... | Colony Assault (Year 169502): In Year 169502, The Great Scientific Imperium successfully a..."
Age of Trade,170000,170500,The Great Unified Imperium,"Megastructure Completion (Year 170088): In Year 170088, the The Consolidated Consolidated Systems co... | Galactic Federation (Year 170036): In Year 170036, diplomatic relations between The Solari Tech..."
Age of Colonization,170500,171000,The Great Unified Imperium,"Refugee Crisis (Year 170928): In Year 170928, the FTL jump gate in Perseus Arm suffered a ... | War End (Year 170994): In Year 170994, the The Great Unified Imperium launched a su..."
Age of Conflict,171000,171500,The Great Unified Imperium,"Megastructure Completion (Year 171051): In Year 171051, researchers in The Scientific Technocracy ac... | Galactic Federation (Year 171337): In Year 171337, the The Consolidated Kaelumex Systems and Th..."
Age of Collapse,171500,172000,The Consolidated Unified Systems,"Wormhole Collapse (Year 171835): In Year 171835, the FTL jump gate in Pollux Reach suffered a... | Megastructure Completion (Year 171735): In Year 171735, the The Xenan Technocracy completed the cons..."
Age of Expansion,172000,172500,The Unified AI Hegemony,"Pandemic Event (Year 172204): In Year 172204, the FTL jump gate in Procyon Nebula suffered... | War End (Year 172260): In Year 172260, a devastating fleet battle occurred in the A..."
Age of Trade,172500,173000,The Consolidated Technocracy,"Economic Collapse (Year 172837): In Year 172837, The Great Scientific Imperium experienced a ... | Economic Event (Year 172603): In Year 172603, a gold rush of rare FTL fuel elements trigge..."
Age of Expansion,173000,173500,The Great Unified Imperium,"AI Uprising (Year 173308): In Year 173308, a mysterious cosmic pandemic swept through R... | AI Uprising (Year 173380): In Year 173380, a catastrophic solar flare in Polaris Expans..."
Age of Trade,173500,174000,The Great Allied Imperium,"Refugee Crisis (Year 173846): In Year 173846, a rogue AI network in The Cygnan Technocracy... | Galactic Federation (Year 173683): In Year 173683, the The Allied Star Empire and The Xenoid Te..."
Age of Expansion,174000,174500,The Great Scientific Imperium,"Wormhole Collapse (Year 174038): In Year 174038, the FTL jump gate in Pollux Nebula suffered ... | Megastructure Completion (Year 174102): In Year 174102, a breakthrough in zero-point energy generati..."
Age of Trade,174500,175000,The Scientific Technocracy,"Resource Catastrophe (Year 174743): In Year 174743, a catastrophic solar flare in Sagittarius Mi... | Megastructure Completion (Year 174895): In Year 174895, the The Unified Technocracy completed the co..."
Age of Federations,175000,175500,The Great Scientific Imperium,"Megastructure Completion (Year 175272): In Year 175272, researchers in The Great Allied Imperium ach... | Peace Treaty Signing (Year 175180): In Year 175180, the The Zelari AI Hegemony and The Great Cyg..."
Age of Collapse,175500,176000,The Great Scientific Imperium,"Megastructure Completion (Year 175587): In Year 175587, The Great Bulgite Imperium successfully comp... | Megastructure Completion (Year 175979): In Year 175979, The Aethelgardan AI Hegemony successfully co..."
Age of Colonization,176000,176500,The Scientific Technocracy,"Pandemic Event (Year 176247): In Year 176247, a rogue AI network in The Great Meran Imperi... | Alliance Formation (Year 176344): In Year 176344, the The Consolidated Thranian Systems and Th..."
Age of Trade,176500,177500,The Great Unified Imperium,"Peace Treaty Signing (Year 176640): In Year 176640, the The Great Meris Imperium and The Scienti... | Defense Pact (Year 176693): In Year 176693, the The Great Tau-galacticis Imperium and Th... | Economic Collapse (Year 177067): In Year 177067, resource depletion in the Rigel Expanse sect... | Economic Collapse (Year 177483): In Year 177483, The Great Consolidated Imperium experienced ..."
Age of Colonization,177500,178000,The Scientific AI Hegemony,"Megastructure Completion (Year 177659): In Year 177659, a breakthrough in zero-point energy generati... | Planetary Invasion (Year 177735): In Year 177735, the joint fleets of The Scientific AI Hegemo..."
Age of Expansion,178000,178500,The Allied Technocracy,"Megastructure Completion (Year 178294): In Year 178294, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 178421): In Year 178421, the The Great Consolidated Imperium complete..."
Age of Trade,178500,179000,The Thranari Technocracy,"Economic Collapse (Year 178515): In Year 178515, resource depletion in the Aldebaran Prime se... | Economic Collapse (Year 178861): In Year 178861, The Consolidated Scientific Systems experien..."
Age of Federations,179000,179500,The Consolidated Unified Systems,"Galactic Federation (Year 179040): In Year 179040, The Consolidated Unified Systems acted as a ... | Galactic Federation (Year 179291): In Year 179291, the The Sigma-orionis Star Empire and The Co..."
Age of Colonization,179500,180000,The Consolidated Unified Systems,"Refugee Crisis (Year 179558): In Year 179558, a mysterious cosmic pandemic swept through P... | Galactic Federation (Year 179637): In Year 179637, diplomatic relations between The Great Kaelu..."
Age of Expansion,180000,180500,The Great Unified Imperium,"Megastructure Completion (Year 180007): In Year 180007, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 180361): In Year 180361, the The Consolidated Allied Systems complete..."
Age of Trade,180500,181000,The Scientific Technocracy,"Wormhole Collapse (Year 180962): In Year 180962, a mysterious cosmic pandemic swept through B... | Megastructure Completion (Year 180568): In Year 180568, a breakthrough in zero-point energy generati..."
Age of Colonization,181000,181500,The Great Scientific Imperium,"Colony Assault (Year 181338): In Year 181338, The Great Scientific Imperium successfully a... | Defense Pact (Year 181249): In Year 181249, diplomatic relations between The Consolidate..."
Age of Federations,181500,182000,The Great Galactican Imperium,"Megastructure Completion (Year 181548): In Year 181548, researchers in The Great Galactican Imperium... | Galactic Federation (Year 181787): In Year 181787, The Great Allied Imperium acted as a peace m..."
Age of Expansion,182000,183500,The Scientific Technocracy,"Megastructure Completion (Year 182104): In Year 182104, The Scientific Technocracy successfully comp... | Planetary Invasion (Year 182025): In Year 182025, The Unified AI Hegemony successfully annexed... | FTL Network Failure (Year 182561): In Year 182561, a rogue AI network in The Consolidated Scien... | Megastructure Completion (Year 182789): In Year 182789, researchers in The Unified Technocracy achie... | AI Uprising (Year 183440): In Year 183440, a mysterious cosmic pandemic swept through P... | FTL Network Failure (Year 183069): In Year 183069, a rogue AI network in The Consolidated Bulgi..."
